smsid,publicationName,issn,issncut,eissn,scienceMetrixDomain,scienceMetrixField,scienceMetrixSubfield,scienceMatrixSubfieldId
"124731","Journal of Ecology and Rural Environment","1673-4831","16734831","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"112622","Journal of environmental quality","0047-2425","00472425","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"108222","Journal of Food, Agriculture and Environment","1459-0255","14590255","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"106171","Journal of Plant Nutrition","0190-4167","01904167","1532-4087","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"110546","Journal of Plant Nutrition and Soil Science","1436-8730","14368730","1522-2624","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"119502","Journal of Production Agriculture","0890-8524","08908524","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"109714","Journal of Soils and Water Conservation","0022-4561","00224561","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"103070","Journal of Sustainable Agriculture","1044-0046","10440046","1540-7578","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"107124","Journal of Terramechanics","0022-4898","00224898","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"118997","Journal of the Faculty of Agriculture, Kyushu University","0023-6152","00236152","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"119378","Land Degradation and Development","1085-3278","10853278","1099-145X","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"111500","Landbauforschung Volkenrode","0458-6859","04586859","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"101082","Landnutzung und Landentwicklung","1439-0566","14390566","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"110515","Listy Cukrovarnicke a Reparske","1210-3306","12103306","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"113796","New Zealand Journal of Agricultural Research","0028-8233","00288233","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"107704","Nihon Sakumotsu Gakkai kiji","0011-1848","00111848","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"105366","NJAS -Wageningen Journal of Life Sciences","1573-5214","15735214","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"103784","Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","1002-6819","10026819","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"118169","Novenytermeles","0546-8191","05468191","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"105932","Nutrient Cycling in Agroecosystems","1385-1314","13851314","1573-0867","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"113119","Outlook on agriculture","0030-7270","00307270","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"106454","Paddy and Water Environment","1611-2490","16112490","1611-2504","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"100702","Pedobiologia","0031-4056","00314056","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"105675","Pedosphere","1002-0160","10020160","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"108090","Pesquisa Agropecuaria Brasileira","0100-204X","0100204X","1678-3921","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"111081","Pflanzenbauwissenschaften","1431-8857","14318857","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"100446","Plant and Soil","0032-079X","0032079X","1573-5036","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"107136","Plant, soil and environment / Czech Academy of Agricultural Sciences","1214-1178","12141178","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"122677","Planta Daninha","0100-8358","01008358","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"114152","Polish Journal of Soil Science","0079-2985","00792985","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"109387","Precision Agriculture","1385-2256","13852256","1573-1618","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"110203","Renewable Agriculture and Food Systems","1742-1705","17421705","1742-1713","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"109200","Revista brasileira de ciencia do solo","0100-0683","01000683","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"112281","Revista Brasileira de Engenharia Agricola e Ambiental","1415-4366","14154366","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"115595","Revista Brasileira de fruticultura","0100-2945","01002945","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"103630","Revista brasileira de sementes = Brazilian seed journal","0101-3122","01013122","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"107625","Rostlinna Vyroba","0370-663X","0370663X","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"122539","Rural Eco-Environment","1001-5906","10015906","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"111530","Scientia agricola","0103-9016","01039016","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"142618","Semina-Ciencias Agrarias","1676-546X","1676546X","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"107479","Soil & Tillage Research","0167-1987","01671987","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"110238","Soil Biology & Biochemistry","0038-0717","00380717","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"115070","Soil Science","0038-075X","0038075X","1538-9243","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"109076","Soil Science & Plant Nutrition","0038-0768","00380768","1747-0765","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"100618","Soil Science Society of America journal. Soil Science Society of America","0361-5995","03615995","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"119599","Soil Use and Management","0266-0032","02660032","1475-2743","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"129579","South African Journal of Plant and Soil","0257-1862","02571862","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"106112","Spanish journal of agricultural research = Revista de investigacion agraria","1695-971X","1695971X","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"117665","Swedish Journal of Agricultural Research","0049-2701","00492701","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"119563","The Journal of Agricultural Science","0021-8596","00218596","1469-5146","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"112738","Transactions of the ASAE. American Society of Agricultural Engineers","0001-2351","00012351","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"100721","Tropical Agriculture","0041-3216","00413216","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"108973","Tropical Grasslands","0049-4763","00494763","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"102554","Tropical Science","0041-3291","00413291","1556-9179","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"113427","Turk Tarim ve Ormancilik Dergisi/Turkish Journal of Agriculture and Forestry","1300-011X","1300011X","1303-6173","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"108793","Weed Biology and Management","1444-6162","14446162","1445-6664","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"101914","Weed Research","0043-1737","00431737","1365-3180","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"100011","Weed Science","0043-1745","00431745","1550-2759","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"112796","Weed Technology","0890-037X","0890037X","1550-2740","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"127100","Ying yong sheng tai xue bao = The journal of applied ecology / Zhongguo sheng tai xue xue hui, Zhongguo ke xue yuan Shenyang ying yong sheng tai yan jiu suo zhu ban","1001-9332","10019332","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"101389","Acta Agriculturae Scandinavica A - Animal Sciences","0906-4702","09064702","1651-1972","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"141171","Agrarforschung","1022-663X","1022663X","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"102199","Animal : an international journal of animal bioscience","1751-7311","17517311","1751-732X","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"109005","Animal Feed Science and Technology","0377-8401","03778401","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"107923","Animal Genetics","0268-9146","02689146","1365-2052","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"110150","Animal Reproduction Science","0378-4320","03784320","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"103733","Animal Research","1627-3583","16273583","1627-3591","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"109246","Animal science (Penicuik, Scotland)","1357-7298","13577298","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"113030","Animal Science Journal","1344-3941","13443941","1740-0929","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"132420","Annales de Zootechnie","0003-424X","0003424X","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"104016","Archiv für Geflugelkunde","0003-9098","00039098","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"102943","Archiv fur Tierzucht","0003-9438","00039438","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"102002","Archives of Animal Nutrition","1745-039X","1745039X","1477-2817","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"104111","Arquivo brasileiro de medicina veterinaria e zootecnia","0102-0935","01020935","1678-4162","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"114156","Asian-Australasian journal of animal sciences","1011-2367","10112367","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"101316","Australian Journal of Dairy Technology","0004-9433","00049433","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"105002","Avian and Poultry Biology Reviews","1470-2061","14702061","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"108754","British Poultry Science","0007-1668","00071668","1466-1799","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"108999","Canadian Journal of Animal Science","0008-3984","00083984","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"108910","Cell Preservation Technology","1538-344X","1538344X","1557-8119","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"110896","Cuban Journal of Agricultural Science","0864-0408","08640408","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"106255","Czech Journal of Animal Science","1212-1819","12121819","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"102226","Dairy Industries International","0308-8197","03088197","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"116791","Dairy Science & Technology","1958-5586","19585586","1958-5594","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"115384","Domestic Animal Endocrinology","0739-7240","07397240","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"133285","Fleischwirtschaft","0015-363X","0015363X","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"116199","Genetics Selection Evolution","0999-193X","0999193X","1297-9686","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"108241","International Dairy Journal","0958-6946","09586946","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"124335","International Journal of Dairy Science","1811-9743","18119743","1811-9751","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"101695","International Journal of Dairy Technology","1364-727X","1364727X","1471-0307","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"103135","International journal of poultry science","1682-8356","16828356","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"107665","International Journal of Sheep and Wool Science","1832-8679","18328679","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"102303","Irish Journal of Agricultural and Food Research","0791-6833","07916833","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"101951","Italian journal of animal science","1594-4077","15944077","1828-051X","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"113882","Journal of animal and feed sciences","1230-1388","12301388","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"104693","Journal of animal and veterinary advances : JAVA","1680-5593","16805593","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"109753","Journal of Animal Breeding and Genetics","0931-2668","09312668","1439-0388","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"106692","Journal of Animal Breeding and Genetics, Supplement","1742-4488","17424488","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"118751","Journal of Animal Physiology and Nutrition","0931-2439","09312439","1439-0396","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"103149","Journal of Animal Science","0021-8812","00218812","1525-3163","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"105047","Journal of applied animal research","0971-2119","09712119","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"109628","Journal of Applied Poultry Research","1056-6171","10566171","1537-0437","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"111700","Journal of Dairy Science","0022-0302","00220302","1525-3198","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"106601","Journal of Muscle Foods","1046-0756","10460756","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"115065","Kieler Milchwirtschaftliche Forschungsberichte","0023-1347","00231347","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"116179","Le Lait","0023-7302","00237302","1297-9694","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"119558","Livestock Production Science","0301-6226","03016226","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"110112","Livestock Research for Rural Development","0121-3784","01213784","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"101364","Livestock Science","1871-1413","18711413","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"109802","Meat Science","0309-1740","03091740","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"107831","Milchwissenschaft","0026-3788","00263788","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"132929","Poultry and Avian Biology Reviews","1357-048X","1357048X","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"110331","Poultry science","0032-5791","00325791","1525-3171","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"118673","Productions Animales","0990-0632","09900632","1152-5428","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"116601","Reproduction in Domestic Animals","0936-6768","09366768","1439-0531","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"120167","Reproduction, nutrition, development","0926-5287","09265287","1297-9708","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"111995","Revista brasileira de ciencia avicola / Fundacao APINCO de Ciencia e Tecnologia Avicolas","1516-635X","1516635X","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"109573","Revista Brasileira de Zootecnia","1516-3598","15163598","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"108434","Revista Cientifica de la Facultad de Ciencias Veterinarias de la Universidad del Zulia","0798-2259","07982259","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"101311","Small Ruminant Research","0921-4488","09214488","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"109689","South African Journal Of Animal Science","0375-1589","03751589","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"141189","Swine Health and Production","1066-4963","10664963","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"120301","The Indian journal of animal sciences","0367-8318","03678318","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"108757","The Indian veterinary journal","0019-6479","00196479","","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
"109967","The Journal of dairy research","0022-0299","00220299","1469-7629","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","2"
