
Similarity Threshold,Article ID,Title,Journal,Authors,Affiliations,Keywords,Cluster to which the article was assigned,Number of articles in the selected cluster,Cluster ultimately selected in Phase 2 matching,Status of ReCiter's determination for this article with respect to reference standard
0.3,24361790,Changes in diabetes status between pregnancies and impact on subsequent newborn outcomes.,American journal of obstetrics and gynecology,"Nansi S Boghossian, Edwina null Yeung, Paul S Albert, Pauline null Mendola, S Katherine Laughon, Stefanie N Hinkle, Cuilin null Zhang, 24361790 null 24361790, ","Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","diabetes,large for gestational age,macrosomia,respiratory distress,shoulder dystocia,Birth Weight,Diabetes, Gestational,Disease Progression,Female,Fetal Macrosomia,Gestational Age,Humans,Infant, Newborn,International Classification of Diseases,Male,Pregnancy,Pregnancy Outcome,Pregnancy in Diabetics,Premature Birth,Recurrence,",1,147,No,True Negative
0.3,24320682,The association between parity and birthweight in a longitudinal consecutive pregnancy cohort.,Paediatric and perinatal epidemiology,"Stefanie N Hinkle, Paul S Albert, Pauline null Mendola, Lindsey A Sjaarda, Edwina null Yeung, Nansi S Boghossian, S Katherine Laughon, 24320682 null 24320682, ","Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","birth order,birthweight,parity,pregnancy,siblings,Adolescent,Adult,Birth Weight,Body Mass Index,Female,Gestational Age,Humans,Linear Models,Longitudinal Studies,Male,Maternal Age,Parity,Pregnancy,Risk Factors,Weight Gain,",1,147,No,True Negative
0.3,24261471,Efficient logistic regression designs under an imperfect population identifier.,Biometrics,"Paul S Albert, Aiyi null Liu, Tonja null Nansel, 24261471 null 24261471, ","Biostatistics and Bioinformatics Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Blvd. Room 7B05, Bethesda, Maryland, 20892, U.S.A., National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Case-control designs,Diagnostic accuracy,Epidemiologic designs,Measurement error,Misclassification,Adolescent,Behavior Therapy,Child,Computer Simulation,Diabetes Mellitus, Type 1,Diagnostic Errors,Hemoglobin A, Glycosylated,Humans,Likelihood Functions,Logistic Models,Research Design,",1,147,No,True Negative
0.3,24114935,Identifying multiple change points in a linear mixed effects model.,Statistics in medicine,"Yinglei null Lai, Paul S Albert, 24114935 null 24114935, ","Department of Statistics and Biostatistics Center, The George Washington University, Rome Hall, Room 553, 801 22nd St. N.W., Washington, D.C., 20052, U.S.A., George Washington University The George Washington University George Washington University Washington United States National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","change point,dynamic programming algorithm,expectation-maximization algorithm,linear mixed effects model,longitudinal data,Adolescent,Algorithms,Behavior Therapy,Biostatistics,Child,Computer Simulation,Confidence Intervals,Diabetes Mellitus, Type 1,Hemoglobin A, Glycosylated,Humans,Likelihood Functions,Linear Models,Longitudinal Studies,Models, Statistical,Randomized Controlled Trials as Topic,",1,147,No,True Negative
0.3,24076760,Bayesian Hierarchical Poisson Regression Models: An Application to a Driving Study with Kinematic Events.,Journal of the American Statistical Association,"Sungduk null Kim, Zhen null Chen, Zhiwei null Zhang, Bruce G Simons-morton, Paul S Albert, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology, Statistics and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Rockville, MD 20852., ","Longitudinal Count Data,Over-dispersion,Random effect,Serial correlation,Teenage driving,",1,147,No,True Negative
0.3,24036403,The NICHD Consecutive Pregnancies Study: recurrent preterm delivery by subtype.,American journal of obstetrics and gynecology,"S Katherine Laughon, Paul S Albert, Kira null Leishear, Pauline null Mendola, ","Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Rockville, MD., Biostatistics and Bioinformatics Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Rockville, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Rockville, MD., Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Rockville, MD.","indicated preterm birth,recurrent preterm birth,spontaneous preterm birth,Adolescent,Adult,Female,Gestational Age,Humans,Incidence,National Institute of Child Health and Human Development (U.S.),Pregnancy,Premature Birth,Recurrence,Retrospective Studies,Risk,United States,Utah,Young Adult,",1,147,No,True Negative
0.3,24035985,Customized large-for-gestational-age birthweight at term and the association with adverse perinatal outcomes.,American journal of obstetrics and gynecology,"Lindsey A Sjaarda, Paul S Albert, Sunni L Mumford, Stefanie N Hinkle, Pauline null Mendola, S Katherine Laughon, ","Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD. Electronic address: laughonsk@mail.nih.gov.","customized birthweight,delivery complications,large for gestational age,macrosomia,neonatal morbidity,neonatal mortality,Adult,Birth Weight,Cohort Studies,Female,Fetal Macrosomia,Gestational Age,Humans,Infant Mortality,Infant, Newborn,Infant, Newborn, Diseases,Morbidity,Pregnancy,Pregnancy Complications,Pregnancy Outcome,Retrospective Studies,Young Adult,",1,147,No,True Negative
0.3,25284899,Ordinal latent variable models and their application in the study of newly licensed teenage drivers.,"Journal of the Royal Statistical Society. Series C, Applied statistics","John C Jackson, Paul S Albert, Zhiwei null Zhang, Bruce Simons Morton, ","Department of Mathematical Sciences, United States Military Academy, West Point NY, USA., Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Rockville MD, USA., Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Rockville MD, USA., Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Rockville MD, USA.","Monte Carlo EM,driving study,latent class modeling,",1,147,No,True Negative
0.3,23576044,Dietary patterns in association with postpartum weight retention.,The American journal of clinical nutrition,"Nansi S Boghossian, Edwina H Yeung, Leah M Lipsky, Anna K Poon, Paul S Albert, 23576044 null 23576044, ","Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD, USA., National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Adult,Body Mass Index,Body Weight,Breast Feeding,Diet, Mediterranean,Energy Intake,Female,Food Habits,Health Food,Humans,Linear Models,Longitudinal Studies,Multivariate Analysis,Nutrition Assessment,Patient Compliance,Postpartum Period,Reproducibility of Results,Risk Factors,Self Report,Socioeconomic Factors,Young Adult,",1,147,No,True Negative
0.3,23529923,A crossed random effects modeling approach for estimating diagnostic accuracy from ordinal ratings without a gold standard.,Statistics in medicine,"Yunlong null Xie, Zhen null Chen, Paul S Albert, 23529923 null 23529923, ","Division of Epidemiology Statistics and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD 20892, U.S.A., National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","MCEM algorithm,endometriosis,random effects models,Algorithms,Computer Simulation,Data Interpretation, Statistical,Diagnostic Tests, Routine,Endometriosis,Female,Humans,Models, Statistical,Monte Carlo Method,Observer Variation,Physicians,Reproducibility of Results,",1,147,No,True Negative
0.3,23212516,Phase 1 trial of IL-15 trans presentation blockade using humanized MikI²1 mAb in patients with T-cell large granular lymphocytic leukemia.,Blood,"Thomas A Waldmann, Kevin C Conlon, Donn M Stewart, Tatyana A Worthy, John E Janik, Thomas A Fleisher, Paul S Albert, William D Figg, Shawn D Spencer, Mark null Raffeld, Jean R Decker, Carolyn K Goldman, Bonita R Bryant, Michael N Petrus, Stephen P Creekmore, John C Morris, 23212516 null 23212516, ","Metabolism Branch, Center for Cancer Research, National Cancer Institute (NCI), National Institutes of Health (NIH), Bethesda, MD 20892, USA. tawald@helix.nih.gov, National Cancer Institute National Cancer Institute NIH Bethesda United States Warren G. Magnuson Clinical Center National Institutes of Health at the Warren G. Magnuson Clinical Center in Bethesda Warren G. Magnuson Clinical Center Bethesda United States National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States SAIC-Frederick SAIC-Frederick SAIC-Frederick, Inc. SAIC Frederick Frederick United States National Institutes of Health, Bethesda National Institutes of Health NIH National Institute of Health Bethesda United States University of Cincinnati University of Cincinnati Cincinnati United States ","Aged,Aged, 80 and over,Animals,Antibodies, Monoclonal,Antibodies, Monoclonal, Humanized,Cell Division,Cell Line, Tumor,Female,Humans,Injections, Intravenous,Interleukin Receptor Common gamma Subunit,Interleukin-15,Interleukin-2 Receptor beta Subunit,Leukemia, Large Granular Lymphocytic,Macaca fascicularis,Male,Mice,Middle Aged,RNA, Messenger,Treatment Outcome,",1,147,No,True Negative
0.3,23182780,Trajectories of kinematic risky driving among novice teenagers.,Accident; analysis and prevention,"Bruce G Simons-morton, Kyeongmi null Cheon, Feng null Guo, Paul null Albert, 23182780 null 23182780, ","Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD 20892-7510, United States. MortonB@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States Virginia Polytechnic Institute and State University State University Virginia Tech Virginia Polytechnic Institute and State University Blacksburg United States ","Acceleration,Accelerometry,Adolescent,Adolescent Behavior,Attitude,Automobile Driving,Dangerous Behavior,Deceleration,Female,Friends,Gravitation,Humans,Male,Models, Statistical,Personality,Psychology, Adolescent,Questionnaires,Risk Factors,Task Performance and Analysis,Virginia,",1,147,No,True Negative
0.3,23049137,Optimality of group testing in the presence of misclassification.,Biometrika,"Aiyi null Liu, Chunling null Liu, Zhiwei null Zhang, Paul S Albert, ","Biostatistics and Bioinformatics Branch, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Rockville, Maryland 20852, U.S.A., liua@mail.nih.gov., ",",",1,147,No,True Negative
0.3,23006010,Estimating diagnostic accuracy of raters without a gold standard by exploiting a group of experts.,Biometrics,"Bo null Zhang, Zhen null Chen, Paul S Albert, 23006010 null 23006010, ","Biostatistics Core, School of Biological and Population Health Sciences, College of Public Health and Human Sciences, Oregon State University, OR 97331, USA. bo.zhang@oregonstate.edu, Oregon State University Oregon State University Corvallis United States National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Computer Simulation,Data Interpretation, Statistical,Diagnostic Errors,Endometriosis,Female,Humans,Models, Statistical,Professional Competence,Reference Values,Reproducibility of Results,Sensitivity and Specificity,",1,147,No,True Negative
0.3,22969024,A discussion of gene-gene and gene-environment interactions and longitudinal genetic analysis of complex traits.,Statistics in medicine,"Ruzong null Fan, Paul S Albert, Enrique F Schisterman, 22969024 null 22969024, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology, Statistics, and Prevention, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, 6100 Executive Blvd, Room 7B05, MSC 7510, Rockville, MD 20852, USA. fanr@mail.nih.gov, National Institutes of Health, Bethesda National Institutes of Health NIH National Institute of Health Bethesda United States ","Data Interpretation, Statistical,Gene-Environment Interaction,Genome-Wide Association Study,Genotype,Humans,Longitudinal Studies,Phenotype,Quantitative Trait Loci,",1,147,No,True Negative
0.3,22969023,The biomarker revolution.,Statistics in medicine,"Enrique F Schisterman, Paul S Albert, 22969023 null 22969023, ","Epidemiology Branch, Division of Epidemiology, Statistics and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Boulevard Room 7B03, Bethesda, MDa€‰20892-7510, USA. schistee@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Biological Markers,Case-Control Studies,Data Interpretation, Statistical,Female,Humans,Logistic Models,Models, Statistical,",1,147,No,True Negative
0.3,22969022,Novel statistical methodology for analyzing longitudinal biomarker data.,Statistics in medicine,"Paul S Albert, Enrique F Schisterman, 22969022 null 22969022, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Boulevard Room 7B05 Bethesda, MA 20892-7510, USA. albertp@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Female,Humans,Logistic Models,Longitudinal Studies,Models, Statistical,Research Design,",1,147,No,True Negative
0.3,22965819,Longitudinal association analysis of quantitative traits.,Genetic epidemiology,"Ruzong null Fan, Yiwei null Zhang, Paul S Albert, Aiyi null Liu, Yuanjia null Wang, Momiao null Xiong, 22965819 null 22965819, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology, Statistics and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Rockville, Maryland., National Institutes of Health, Bethesda National Institutes of Health NIH National Institute of Health Bethesda United States University of Minnesota Twin Cities University of Minnesota Minneapolis United States Columbia University Medical Center Columbia University Medical Center Columbia University New York United States University of Texas System University of Texas Austin United States ","association mapping,longitudinal analysis,quantitative trait loci,Adult,Alleles,Blood Pressure,Female,Genetic Association Studies,Genetic Markers,Genetics, Population,Health Surveys,Heart,Humans,Linear Models,Linkage Disequilibrium,Longitudinal Studies,Male,Massachusetts,Middle Aged,Models, Genetic,Polymorphism, Single Nucleotide,Quantitative Trait Loci,Statistics, Nonparametric,Stochastic Processes,Time Factors,",1,147,No,True Negative
0.3,22837188,The utility of menstrual cycle length as an indicator of cumulative hormonal exposure.,The Journal of clinical endocrinology and metabolism,"Sunni L Mumford, Anne Z Steiner, Anna Z Pollack, Neil J Perkins, Amanda C Filiberto, Paul S Albert, Donald R Mattison, Jean null Wactawski-wende, Enrique F Schisterman, 22837188 null 22837188, ","Epidemiology Branch, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Boulevard, 7B03, Rockville, Maryland 20852, USA. mumfords@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States University of North Carolina School of Medicine University of North Carolina University of North Carolina School of Medicine Chapel Hill United States University at Buffalo State University of New York University at Buffalo State University of New York State University of New York at Buffalo Buffalo United States ","Adolescent,Adult,Anovulation,Estradiol,Female,Follicle Stimulating Hormone, Human,Follicular Phase,Hormones,Humans,Life Style,Luteal Phase,Luteinizing Hormone,Menstrual Cycle,Ovulation,Progesterone,Prospective Studies,Risk Factors,Young Adult,",1,147,No,True Negative
0.3,22805306,The antioxidant tempol reduces carcinogenesis and enhances survival in mice when administered after nonlethal total body radiation.,Cancer research,"James B Mitchell, Miriam R Anver, Anastasia L Sowers, Philip S Rosenberg, Maria null Figueroa, Angela null Thetford, Murali C Krishna, Paul S Albert, John A Cook, 22805306 null 22805306, ","Radiation Biology Branch, Center for Cancer Research, National Cancer Institute, Bethesda, MD 20892, USA. jbm@helix.nih.gov, National Cancer Institute National Cancer Institute NIH Bethesda United States NICHD NICHD Bethesda United States National Cancer Institute at Frederick National Cancer Institute Frederick United States ","Animals,Antioxidants,Cyclic N-Oxides,Female,Mice,Neoplasms, Radiation-Induced,Radiation-Protective Agents,Spin Labels,Whole-Body Irradiation,",1,147,No,True Negative
0.3,22786788,The impact of random-effect misspecification on percentile estimation for longitudinal growth data.,Statistics in medicine,"Kyeongmi null Cheon, Paul S Albert, Zhiwei null Zhang, 22786788 null 22786788, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology, Statistics and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, 6100 Executive Blvd, Rockville, MD 20852, USA., National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Bias (Epidemiology),Computer Simulation,Cross-Sectional Studies,Epidemiologic Research Design,Female,Fetal Development,Humans,Likelihood Functions,Linear Models,Longitudinal Studies,Normal Distribution,Predictive Value of Tests,Pregnancy,Pregnancy Outcome,Random Allocation,Reference Standards,Ultrasonography, Prenatal,United States,",1,147,No,True Negative
